, SampleID,CationC,AnionC,FinalC,CationP,CationPH,AnionP,AnionPH,FinalP,FinalPH,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8
24,DLDUR692-210615,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.366818152,-2.639385689,3.354037682,-0.681645678,-0.867210568,-1.888486184,-1.3021483390000002
25,DLDUR692-220614,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.333870185,-2.563381074,2.6315605140000002,-0.472115821,-0.45605898799999994,-1.4596831280000002,-0.7338483109999999
26,DLDUR692-040916,3,4,sodium-carbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.396136265,-2.82118184,2.899731299,-0.508974473,-0.754553371,-1.362512607,-1.366431819
27,DLDUR692-200518,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.332037679,-2.82885649,2.572950573,-0.33178166800000003,-0.723482405,-1.799615692,-0.758153002
28,DLDUR692-130817,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,2.27963854,-2.9889079539999996,2.757496674,-0.28813304300000003,-0.9093216679999999,-1.712430354,-0.621259649
29,DLDUR725-181118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.7967837510000004,-2.788907815,0.9309163640000001,0.519449874,-0.436550055,-1.7794381999999997,-0.654559105
30,DLDUR728-270518,3,4,sodium-carbonate,3,sodium,3,bicarbonate-carbonate,sodium-bicarbonate,sodium bicarbonate-carbonate,3.589908467,-3.315039956,2.371206252,-0.272579318,-0.7284092520000001,-1.624309585,-1.8545419230000002
31,DLDUR728-271019,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.257534113,-3.321039592,1.6373534019999998,-0.388586441,-0.744710842,-2.036516266,-0.9871383859999999
32,DLDUR728-181118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.0110331189999995,-3.206660916,2.0252147519999997,-0.277959589,-0.852880237,-1.8654454109999998,-1.538513945
33,DLDUR746-200518,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.618805331,-2.574276048,0.9400964890000001,0.387353943,-0.201182075,-1.908149765,-0.310120735
34,DLDUR760-140615,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.33957474600000004,-1.44842633,2.168399743,-0.209830925,0.222435267,-1.530649191,0.638743847
35,DLEST860-060915,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,-0.028420517000000003,-1.1467310590000002,0.575478078,1.017925212,-0.338833596,-1.64798035,0.167942875
36,DLGUA1027-050317,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.813391363,-2.2352891919999998,1.10051021,-0.059864589,-0.384311478,-1.50630637,0.296193835
37,DLGUA1027-010516,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.767866005,-2.5099856369999998,0.7787934809999999,-0.41091316200000005,-0.810817131,-1.9552037130000002,1.940161055
38,DLGUA1033-010516,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-sulfate,sodium-bicarbonate,sodium bicarbonate-sulfate,0.277123601,-2.654812497,0.78050768,-0.753878446,-0.399304951,-1.51287677,2.801198332
39,DLGUA1038-230619,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.358959306,-2.63206438,1.6789957269999998,-0.615366249,-0.388262024,-1.870108111,0.010353636
40,DLGUA1038-170917,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.510936649,-2.78580358,1.7891261330000001,-0.665872927,-0.555626284,-1.9187769590000001,-0.050893994000000005
41,DLGUA1038-041118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.380900215,-2.747680931,1.6643664280000001,-0.539249683,-0.483422356,-1.8856187819999999,0.128190517
42,DLGUA1040-260415,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-sulfate,sodium-bicarbonate,sodium-calcium bicarbonate-sulfate,0.315990166,-1.513908407,1.628811595,-1.0989873940000001,-0.082292632,-1.504404474,3.046751687
43,DLGUA1051-160815,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.782711198,-2.308789908,1.198941118,-0.10528972,1.083191319,-1.7024983519999999,0.354015339
44,DLGUA1103-160619,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.920296939,-2.054208196,0.338842308,0.48420410700000005,0.469349608,-1.81823681,-0.164396879
45,DLGUA1104-310716,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.465203787,-3.008249158,0.643988016,-0.48932192,-0.39341266700000005,-2.327690262,-1.179361142
46,DLGUA1104-060714,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.578397142,-2.7010476310000002,0.8336477729999999,-0.244213719,-0.101975963,-1.9669572419999999,-0.867818367
47,DLGUA1104-160619,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.802959611,-2.7637762089999995,0.36409720799999995,-0.43532600200000005,-0.491663356,-2.1093294559999998,-1.631969188
48,DLGUA1104-170917,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.341818268,-3.32418272,0.331052058,-0.211200269,-0.32899604600000004,-2.141422331,-0.754086631
49,DLGUA1104-090613,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.2811662060000004,-2.90616377,0.703757427,-0.336681181,-0.352408464,-2.011102843,-0.8883267979999999
50,DLGUA1104-091218,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.595577474,-3.0732690639999998,0.5965081760000001,-0.496275952,-0.652631841,-2.3528069819999997,-1.13530744
51,DLGUA1105-310716,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.811440104,-3.093123641,1.87271722,-0.628049026,-0.42001927299999997,-2.343120551,-1.313434929
52,DLGUA1105-090613,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.8982026569999997,-2.902069792,1.508847169,-0.528344666,-0.290191777,-2.0828327069999997,-0.7726200040000001
53,DLGUA1105-170917,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.04779556,-3.316921662,1.541931824,-0.6315822320000001,-0.495995986,-2.1571428519999998,-1.424141699
54,DLGUA1105-090815,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.25478757,-2.531137497,1.774350995,-0.572152452,-0.038134819,-2.0988488469999997,0.06773125
55,DLGUA1105-160619,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.9618253219999997,-2.727004968,1.070897369,-0.44186755299999997,-0.47048195200000004,-2.12089053,-1.493457744
56,DLGUA1105-041118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.875386582,-3.185395054,1.864260489,-0.460804806,-0.688713833,-2.3520425719999998,-1.333458135
57,DLGUA1105-110318,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.68929556,-3.16191332,1.827346605,-0.342879625,-0.634539973,-2.0880112680000003,-1.566444909
58,DLGUA1192-200414,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.740037397,-1.828469491,1.7393401419999999,-0.20304071399999998,0.07137621599999999,-1.074422412,0.642182612
59,DLGUA1192-210118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.47170560200000006,-1.686180814,1.291051665,0.14587951,0.29481905399999997,-1.065518609,0.33566587200000003
60,DLGUA1192-010516,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.076038367,-1.84025973,0.981820778,-0.133923123,0.032810134,-1.644932069,2.387291881
61,DLGUA1194-211018,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.507917967,-1.327455675,0.602892447,1.285588567,-0.260093226,-1.277328023,0.307083402
62,DLGUA1195-211018,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,-0.014497407,-1.126505538,0.918798773,1.4673880080000001,-0.44031997700000003,-1.495875345,0.9243638470000001
63,DLGUA6003-310319,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.125856027,-2.0699741830000002,0.988067618,0.8913487920000001,-0.15708625199999998,-1.418765459,-0.6353043970000001
64,DLGUA6141-240319,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.464494698,-3.0898390239999998,1.6199422140000002,-0.7985655909999999,-0.30918763,-2.2202407269999997,-0.551271915
65,DLGUA961-120415,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-sulfate,sodium-bicarbonate,sodium-calcium bicarbonate-sulfate,1.52362944,-2.076684348,1.577735109,-0.786136864,0.602553608,-1.133761751,0.401859509
66,DLGUA989-251015,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.16991082,-2.1817264080000003,0.019414683999999998,0.820531975,-0.55002726,-2.153595232,3.27216424
67,DLGUA996-060414,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.197236625,-2.473370053,1.370025799,-0.033706927000000005,0.155108637,-2.226993197,0.306769821
68,DLGUA996-251015,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.12519412,-2.81299964,0.657923131,-0.33295640000000004,-0.12053282300000001,-2.59127073,2.8037170839999996
69,DLGUE1213-110318,3,2,sodium-chloride,3,sodium,2,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,0.300031104,-1.4229565030000002,1.561280763,-0.18094253,-0.91033915,-0.8176698929999999,1.717717821
70,DLGUE1248-161016,3,3,sodium-bicarbonate,1,calcium-sodium,3,bicarbonate-chloride,calcium-bicarbonate,calcium-sodium bicarbonate-chloride,-0.0009140439999999999,-0.666566004,2.9936491210000002,-0.459092195,-0.836518953,-1.412451907,1.0304786959999999
71,DLHID1434-100814,3,1,sodium-sulfate,3,sodium,1,sulfate-bicarbonate,sodium-sulfate,sodium sulfate-bicarbonate,0.333139884,-1.129800454,0.88056791,-0.876302391,-0.179896754,-0.749658485,2.006271999
72,DLHID1498-110617,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,-0.17551367699999998,-1.635255062,0.8079892340000001,0.230455333,-0.885952031,-1.4278412130000002,2.667677587
73,DLHID1505-111112,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,0.105799919,-1.146125006,1.4279017330000001,0.160430858,-0.784157525,-1.018795058,1.4395577259999999
74,DLMIC1665-240416,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,-0.372669216,-2.195263867,0.5498940210000001,0.824256193,-0.704260743,-2.042238474,2.347822535
75,DLMIC1666-300314,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.49380905799999997,-1.952416167,0.520276253,0.623456406,0.21443496899999998,-2.127352872,0.558468046
76,DLMIC1666-240416,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,-0.612489191,-2.083907095,0.369071811,1.305729552,0.033387512,-2.206551126,1.9460365069999999
77,DLMIC1725-300314,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.012395072,-1.749573574,1.092426294,1.57542646,0.067792735,-2.170081918,0.9996124759999999
78,DLMIC1728-021212,2,3,magnesium-bicarbonate,2,magnesium-sodium,3,bicarbonate,magnesium-bicarbonate,magnesium-sodium bicarbonate,-1.046009694,-0.502636833,1.1594989740000001,0.733542063,0.405783591,-2.0006425269999997,1.779436085
79,DLMIC1753-200414,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,-0.186593388,-1.408120471,1.30113729,2.009635929,-0.286455157,-2.004257965,-0.070255452
80,DLPUE1990-110218,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,0.194579177,-0.9657390990000001,1.550894026,0.367447915,-0.29207374,-1.115831222,0.985954239
81,DLPUE1990-041118,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,0.21298194199999998,-0.734669913,1.607608724,0.16741077,-0.309375267,-1.321612528,1.196307494
82,DLPUE2020-041118,3,3,sodium-bicarbonate,3,sodium-magnesium,3,bicarbonate-sulfate,sodium-bicarbonate,sodium-magnesium bicarbonate-sulfate,-0.383540059,-0.933553447,1.643795809,-0.5470288560000001,0.43854916899999996,-1.035650345,1.037495745
83,DLPUE2020-110218,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,-0.214977865,-0.94489801,1.779268099,-0.218485121,0.501036032,-1.2137677059999998,0.45311994
84,DLPUE2039-060316,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.20835727899999998,-0.586018565,2.219237618,-0.01158917,0.108943888,-1.387800783,0.616486313
85,DLPUE2039-110218,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.095786519,-0.700368408,2.071056165,0.156743452,0.049954686,-1.301898871,0.562433494
86,DLPUE2045-070816,1,1,calcium-sulfate,1,calcium,1,sulfate-bicarbonate,calcium-sulfate,calcium sulfate-bicarbonate,-0.320395107,-0.329491928,2.362030678,-1.290238728,0.6158849989999999,-0.963425399,0.9547766759999999
87,DLPUE2045-110218,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate-sulfate,calcium-bicarbonate,calcium-sodium bicarbonate-sulfate,-0.43685691,-0.6121729929999999,2.105563407,-0.253046093,0.35915859,-0.722760312,0.814330456
88,DLPUE2075-041118,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,-0.542772991,-0.669987953,2.314010193,0.741375193,-0.56960697,-1.366987346,0.6861340459999999
89,DLPUE2075-180617,3,3,sodium-bicarbonate,3,sodium-magnesium,3,bicarbonate-chloride,sodium-bicarbonate,sodium-magnesium bicarbonate-chloride,-0.5358982870000001,-0.6368207339999999,2.345807186,0.46773820200000005,-0.621418306,-1.4342671280000001,0.905200494
90,DLPUE2075-110218,1,3,calcium-bicarbonate,1,calcium-magnesium,3,bicarbonate-chloride,calcium-bicarbonate,calcium-magnesium bicarbonate-chloride,-0.46101873600000004,-0.474902594,2.535543842,0.255753387,-0.6876229629999999,-1.107119966,0.46545700100000004
91,DLPUE2077-110218,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,-0.35020721200000005,-0.811019468,2.375620477,0.76585063,-0.14037156,-1.484852123,0.250583851
92,DLPUE5408-041118,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.031057328999999998,-0.544939179,1.2890684890000002,-0.0089649,-0.067369388,-1.213650565,1.2053267970000001
93,DLPUE5408-110218,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,0.11077919900000001,-0.737045815,1.481935768,0.745298887,-0.359197981,-1.381757243,0.629732766
94,DLPUE5409-110218,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,0.083832231,-0.856628788,0.987500222,1.714913102,0.7032426540000001,-1.82592592,-0.050824689000000006
95,DLPUE5409-021016,1,3,calcium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,-0.152472163,-0.7973485570000001,0.835981148,1.7481578480000002,0.390488944,-1.9459083419999998,0.7601897679999999
96,DLPUE5409-041118,1,3,calcium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,-0.044377577,-0.815811469,0.860785476,1.9025808469999999,0.42086982100000003,-1.7040747369999998,0.309734562
97,DLPUE5410-110218,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-carbonate,sodium-bicarbonate,sodium-calcium bicarbonate-carbonate,-0.064261663,-0.970733227,2.05639936,0.768356499,0.870032747,-1.407789416,-0.75947135
98,DLPUE5411-110218,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,-0.12565247699999998,-1.56771811,1.260904021,0.914442787,0.688819608,-1.4611568819999998,0.920080152
99,DLPUE5411-021016,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.141549679,-0.48565435100000004,1.18134971,1.084694966,0.358954404,-1.7624447559999998,0.590421581
100,DLPUE5412-021016,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.187708465,-0.368561863,1.300397312,1.245879463,0.757595832,-1.774017512,-0.032817833
101,DLPUE5412-110218,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.17474451300000002,-0.644969986,1.531692913,0.630027227,0.798743619,-1.890997239,0.65729388
102,DLQUE2089-280615,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.440459216,-2.156970014,1.483338295,-0.46527845799999995,-0.236172262,-1.736652232,1.146277943
103,DLQUE2089-260616,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.806578358,-1.831438155,0.9944758140000001,-0.05774123900000001,0.156541599,-1.065981803,0.9919822140000001
104,DLQUE2090-260616,3,4,sodium-carbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,2.329779774,-2.829711371,2.132982638,-0.825208268,-0.569692589,-0.9106501,-1.3059621890000002
105,DLQUE2090-161218,3,4,sodium-carbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,4.887879692,-3.2101086939999997,2.01202858,-1.291911054,-1.043529385,-1.5300041009999998,-1.60656048
106,DLQUE2126-060414,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,0.17563757800000002,-0.896141135,1.0039815490000001,1.3690187740000002,-0.174333034,-1.896367336,0.811553929
107,DLSAN2281-110916,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.076262312,-1.641737859,0.43839550200000005,0.142639874,0.290146042,-1.355832324,0.6035726260000001
108,DLSAN2325-111118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.89699696,-2.653639768,0.709960493,-0.179847915,-0.25479804899999997,-1.2275032209999999,-0.487298464
109,DLTAB2418-151017,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,-0.68089838,-2.47109609,2.704346174,2.525548515,0.067842399,-2.45646507,0.488707413
110,DLTAB2453M1-290418,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.455118413,-2.632762419,1.972968626,1.477064451,-0.6737943209999999,-1.99093866,-1.237158043
111,DLTAB2487-310814,3,3,sodium-bicarbonate,1,calcium-sodium,3,bicarbonate-chloride,calcium-bicarbonate,calcium-sodium bicarbonate-chloride,0.276531005,-0.34940057399999996,1.5543054680000001,0.667427928,-0.558853814,-1.406931475,0.011734075
112,DLTAB5354-301218,3,2,sodium-chloride,3,sodium,2,chloride-carbonate,sodium-chloride,sodium chloride-carbonate,-0.012499258000000001,-1.162493293,1.572284443,0.870771753,-0.7601167129999999,-0.076718386,-0.585853109
113,DLTAB5355-290418,1,3,calcium-bicarbonate,1,calcium-sodium,3,bicarbonate,calcium-bicarbonate,calcium-sodium bicarbonate,-0.24592931399999998,-0.7418202979999999,1.990001619,1.774650803,0.39774506600000004,-1.954941979,0.08553556699999999
114,DLTLA2542-111118,1,3,calcium-bicarbonate,1,calcium-magnesium,3,bicarbonate-chloride,calcium-bicarbonate,calcium-magnesium bicarbonate-chloride,-0.34363243299999996,-0.22903832100000002,1.330532752,1.032570541,-0.245071526,-1.052141633,0.31749449
